MONITORED: % | ON: 9.33% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 20.94% | TXL: 0.66% | RXL: 1.22% | INTL: 0.00% | Energy: 33906000
MONITORED: % | ON: 1.29% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 21.70% | TXL: 4.31% | RXL: 3.38% | INTL: 0.49% | Energy: 374301600
MONITORED: % | ON: 0.69% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 18.47% | TXL: 3.23% | RXL: 2.54% | INTL: 0.39% | Energy: 650142880
MONITORED: % | ON: 0.45% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 16.29% | TXL: 2.52% | RXL: 1.95% | INTL: 0.31% | Energy: 868020160
MONITORED: % | ON: 0.34% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 15.18% | TXL: 2.12% | RXL: 1.65% | INTL: 0.27% | Energy: 1079864000
MONITORED: % | ON: 0.27% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 14.51% | TXL: 1.93% | RXL: 1.46% | INTL: 0.25% | Energy: 1284210000
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.20% | TXL: 1.86% | RXL: 1.33% | INTL: 0.23% | Energy: 1506683120
MONITORED: % | ON: 0.20% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 14.02% | TXL: 1.80% | RXL: 1.27% | INTL: 0.22% | Energy: 1679572640
MONITORED: % | ON: 0.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.73% | TXL: 1.71% | RXL: 1.20% | INTL: 0.21% | Energy: 1876441040
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.53% | TXL: 1.65% | RXL: 1.14% | INTL: 0.21% | Energy: 2072089840
MONITORED: % | ON: 0.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.38% | TXL: 1.61% | RXL: 1.10% | INTL: 0.20% | Energy: 2270125040
MONITORED: % | ON: 0.13% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.26% | TXL: 1.56% | RXL: 1.07% | INTL: 0.20% | Energy: 2474001840
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.22% | TXL: 1.55% | RXL: 1.06% | INTL: 0.19% | Energy: 2688717680
MONITORED: % | ON: 0.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.16% | TXL: 1.52% | RXL: 1.05% | INTL: 0.19% | Energy: 2850226400
MONITORED: % | ON: 0.11% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.08% | TXL: 1.50% | RXL: 1.02% | INTL: 0.19% | Energy: 3061401200
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.00% | TXL: 1.48% | RXL: 1.00% | INTL: 0.18% | Energy: 3267214000
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.96% | TXL: 1.47% | RXL: 0.98% | INTL: 0.18% | Energy: 3484717200
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.92% | TXL: 1.46% | RXL: 0.96% | INTL: 0.18% | Energy: 3698737200
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.91% | TXL: 1.46% | RXL: 0.96% | INTL: 0.18% | Energy: 3924751760
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.84% | TXL: 1.44% | RXL: 0.94% | INTL: 0.18% | Energy: 4113618960
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.80% | TXL: 1.42% | RXL: 0.92% | INTL: 0.18% | Energy: 4290601760
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.75% | TXL: 1.41% | RXL: 0.91% | INTL: 0.17% | Energy: 4496747760
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.71% | TXL: 1.40% | RXL: 0.90% | INTL: 0.17% | Energy: 4706268160
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.67% | TXL: 1.38% | RXL: 0.89% | INTL: 0.17% | Energy: 4910936960
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.64% | TXL: 1.37% | RXL: 0.89% | INTL: 0.17% | Energy: 5116941360
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.64% | TXL: 1.36% | RXL: 0.89% | INTL: 0.17% | Energy: 5336283920
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.61% | TXL: 1.35% | RXL: 0.88% | INTL: 0.17% | Energy: 5497730320
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.60% | TXL: 1.36% | RXL: 0.87% | INTL: 0.17% | Energy: 5714241520
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.60% | TXL: 1.36% | RXL: 0.87% | INTL: 0.17% | Energy: 5933239520
